project,#u_classes,#d_classes,#uv_classes,#dv_classes,#u_sloc,#d_sloc,#uv_classes_sloc,#dv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4
mguillem.JSErrorCollector,1,250,0,2,53,6194,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
abelaska.jedis-lock,2,50,0,2,104,9612,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
mpetersen.aes-example,2,86,0,0,98,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mitre.HTTP-Proxy-Servlet,2,467,0,10,318,15507,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
tdunning.anomaly-detection,2,1106,0,31,82,38987,0,3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,38,0,0,0,4
Netflix.curator,3,168,0,3,90,3049,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
RedisLabs.redis-quartz,3,981,0,30,1120,44121,0,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,111
slugify.slugify,3,1383,0,64,142,57124,0,7078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,60,0,0,0,26
clohfink.RendezvousHash,3,1874,0,5,95,35189,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2
wuman.JReadability,4,208,0,0,204,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ToastShaman.dropwizard-auth-jwt,4,231,0,8,122,6735,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,0,0,0,4
mitreid-connect.json-web-key-generator,4,2036,0,7,107,39429,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
zheludkovm.LinuxJavaFixes,5,366,0,25,150,19243,0,3445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,37,0,0,0,1
maciejzaleski.JMeter-WebSocketSampler,5,663,1,9,648,28313,283,1331,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
robinst.git-merge-repos,5,1254,0,31,282,42855,0,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,51,0,0,0,0
simplicityitself.Mongo-Tomcat-Sessions,5,4652,1,390,319,251872,233,93955,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,97,0,1,3,244,0,0,0,400
beyondj2ee.flumeng-kafka-plugin,5,15375,0,159,115,231317,0,37244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,323,0,0,0,10
organicveggie.metrics-statsd,6,102,0,1,159,2647,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
isrsal.spring-mvc-logger,6,137,0,2,146,7972,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
SINTEF-9012.JArduino,6,171,0,4,191,4448,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
rstoyanchev.spring-mvc-chat,6,3003,0,91,99,101991,0,10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,156,0,0,0,7
trung.InMemoryJavaCompiler,7,23,1,1,143,868,63,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Moocar.logback-gelf,7,369,0,18,400,11359,0,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,12
HolmesNL.kafka-spout,7,1261,0,435,260,82427,0,8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,7
andriusvelykis.reflow-maven-skin,8,482,0,4,465,18226,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
