project,#u_classes,#d_classes,#uv_classes,#dv_classes,#u_sloc,#d_sloc,#uv_classes_sloc,#dv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4
alibaba.wasp,1310,21085,143,2174,31126,621616,13201,220214,1,0,5,3,0,0,33,79,0,0,0,578,13,1,273,142,0,18,1871,863,0,0,0,4659
10gen-labs.hvdf,7011,748,467,0,234978,22580,51770,0,0,0,50,37,0,1,299,236,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0
httl.httl,375,3932,71,501,17729,118012,10678,40251,0,0,2,0,0,0,31,124,0,0,0,83,0,0,37,11,0,5,372,166,0,0,0,765
yonik.noggit,14,0,3,0,1158,0,674,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmock-developers.jmock-library,186,3569,5,77,3159,54797,258,8176,0,0,0,0,0,0,0,2,0,0,0,3,0,0,10,3,0,0,65,32,0,0,0,25
idealo.mongodb-slow-operations-profiler,45,3976,24,148,2568,83940,1995,13548,0,0,0,0,0,0,11,24,0,0,0,105,0,0,13,8,0,0,40,25,0,0,0,156
yahoo.TensorFlowOnSpark,22782,4997,1284,9,620630,78905,130905,1556,0,0,156,59,0,3,635,844,0,0,0,1714,0,0,0,0,0,0,0,4,0,0,0,7
usb4java.usb4java,33,272,1,15,1520,18270,58,4955,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,12,0,0,0,0,40
caijianqing.weixinmp4java,158,153,3,2,1975,2920,479,19,0,0,1,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,2
gradle.gradle,270,2405,2,47,2012,56928,16,2366,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,49,0,0,8,19,0,0,0,6
jsprit.jsprit,524,4284,71,361,14531,246377,5698,56692,0,0,0,0,0,0,15,10,0,0,0,88,0,0,13,61,0,0,189,210,0,0,0,519
oukingtim.king-admin,119,3001,6,302,1976,173911,625,47055,0,0,0,0,0,0,16,2,0,0,0,0,0,0,39,25,0,0,261,150,0,0,0,347
