project,#u_classes,#d_classes,#de_classes,#dne_classes,#dw_classes,#dnw_classes,#uv_classes,#dv_classes,#dev_classes,#dnev_classes,#dwv_classes,#dnwv_classes,#u_sloc,#d_sloc,#de_sloc,#dne_sloc,#dw_sloc,#dnw_sloc,#uv_classes_sloc,#dv_classes_sloc,#dev_classes_sloc,#dnev_classes_sloc,#dwv_classes_sloc,#dnwv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4,#dev_p1_r1,#dev_p1_r2,#dev_p1_r3,#dev_p1_r4,#dev_p2_r1,#dev_p2_r2,#dev_p2_r3,#dev_p2_r4,#dev_p3_r1,#dev_p3_r2,#dev_p3_r3,#dev_p3_r4,#dnev_p1_r1,#dnev_p1_r2,#dnev_p1_r3,#dnev_p1_r4,#dnev_p2_r1,#dnev_p2_r2,#dnev_p2_r3,#dnev_p2_r4,#dnev_p3_r1,#dnev_p3_r2,#dnev_p3_r3,#dnev_p3_r4,#dwv_p1_r1,#dwv_p1_r2,#dwv_p1_r3,#dwv_p1_r4,#dwv_p2_r1,#dwv_p2_r2,#dwv_p2_r3,#dwv_p2_r4,#dwv_p3_r1,#dwv_p3_r2,#dwv_p3_r3,#dwv_p3_r4,#dnwv_p1_r1,#dnwv_p1_r2,#dnwv_p1_r3,#dnwv_p1_r4,#dnwv_p2_r1,#dnwv_p2_r2,#dnwv_p2_r3,#dnwv_p2_r4,#dnwv_p3_r1,#dnwv_p3_r2,#dnwv_p3_r3,#dnwv_p3_r4
01org.graphbuilder,107,1483,735,748,1078,405,30,149,97,52,107,42,3031,60748,33972,26776,40109,20639,1376,14683,9510,5173,10136,4547,0,0,0,0,0,0,5,3,0,0,0,53,0,0,28,18,0,0,67,107,0,0,0,89,0,0,14,15,0,0,61,46,0,0,0,79,0,0,14,3,0,0,6,61,0,0,0,10,0,0,23,3,0,0,51,70,0,0,0,85,0,0,5,15,0,0,16,37,0,0,0,4
1000Memories.photon-core,5,137,22,115,0,137,0,9,2,7,0,9,102,3891,470,3421,0,3891,0,687,470,217,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,8
10gen-labs.hvdf,7011,748,0,748,0,748,467,0,0,0,0,0,234978,22580,0,22580,0,22580,51770,0,0,0,0,0,0,0,50,37,0,1,299,236,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10gen-labs.socialite,8076,503,0,503,0,503,464,0,0,0,0,0,270899,17949,0,17949,0,17949,51286,0,0,0,0,0,0,0,50,34,0,1,303,240,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994.ssm-scaffold,0,6171,5158,1013,3723,2448,0,688,600,88,487,201,0,257108,210381,46727,113362,143746,0,74404,64244,10160,42034,32370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,0,0,378,318,0,0,0,1155,0,0,23,32,0,0,333,250,0,0,0,1026,0,0,20,19,0,0,45,68,0,0,0,129,0,0,19,4,0,0,252,166,0,0,0,924,0,0,24,47,0,0,126,152,0,0,0,231
23.resumable.js,5,42,0,42,0,42,2,6,0,6,0,6,121,1191,0,1191,0,1191,80,576,0,576,0,576,0,0,1,0,0,0,3,0,0,0,0,6,0,0,7,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,16
3pillarlabs.socialauth,3150,3118,1366,1752,1014,2104,404,272,174,98,163,109,136070,111056,40125,70931,30163,80893,41105,25417,13441,11976,12385,13032,0,0,62,20,0,3,294,265,0,0,0,764,0,0,18,5,0,0,160,143,0,0,0,385,0,0,7,1,0,0,67,80,0,0,0,316,0,0,11,4,0,0,93,63,0,0,0,69,0,0,7,0,0,0,60,76,0,0,0,307,0,0,11,5,0,0,100,67,0,0,0,78
4pr0n.ripme,178,1291,622,669,1030,261,89,157,67,90,151,6,6097,46940,20964,25976,40624,6316,5245,13725,6148,7577,13389,336,0,0,3,4,0,0,47,3,0,0,0,266,0,0,20,0,0,0,102,62,0,0,0,239,0,0,9,0,0,0,60,14,0,0,0,72,0,0,11,0,0,0,42,48,0,0,0,167,0,0,20,0,0,0,101,59,0,0,0,236,0,0,0,0,0,0,1,3,0,0,0,3
7040210.SuperBoot,472,2530,865,1665,532,1998,46,228,88,140,48,180,9923,139810,44664,95146,29716,110094,3449,35679,10306,25373,4584,31095,0,0,13,1,0,0,74,41,0,0,0,84,0,0,34,26,0,0,206,149,0,0,0,227,0,0,11,20,0,0,34,108,0,0,0,68,0,0,23,6,0,0,172,41,0,0,0,159,0,0,11,0,0,0,29,65,0,0,0,57,0,0,23,26,0,0,177,84,0,0,0,170
94fzb.zrlog,122,6073,904,5169,2766,3307,35,650,79,571,338,312,4446,229874,29288,200586,109225,120649,2156,74715,9945,64770,41280,33435,0,0,19,2,0,3,53,6,0,0,0,68,0,0,148,74,0,5,957,282,0,0,0,877,0,0,9,1,0,0,94,13,0,0,0,131,0,0,139,73,0,5,863,269,0,0,0,746,0,0,99,1,0,2,651,199,0,0,0,494,0,0,49,73,0,3,306,83,0,0,0,383
aaberg.sql2o,193,625,381,244,153,472,12,53,17,36,2,51,3317,38489,23167,15322,2920,35569,1206,7905,3792,4113,19,7886,0,0,0,1,0,0,15,1,0,0,0,12,0,0,25,1,0,0,38,15,0,0,0,73,0,0,4,0,0,0,2,3,0,0,0,14,0,0,21,1,0,0,36,12,0,0,0,59,0,0,0,0,0,0,0,1,0,0,0,2,0,0,25,1,0,0,38,14,0,0,0,71
