,dependency,enterprise,well_known,used_projects,contributors_in_used_projects,cves,spotbugs_vuls
0,org_codehaus_jackson_jackson-xc_1.8.8_jackson-xc-1.8.8.jar,0,0,1,4,3,0
1,com_googlecode_protobuf-rpc-pro_protobuf-streamer-pro_1.2.3_protobuf-streamer-pro-1.2.3.jar,0,1,1,4,0,28
2,commons-logging_commons-logging_1.1.1_commons-logging-1.1.1.jar,0,1,26,316,0,30
3,org_slf4j_slf4j-api_1.4.3_slf4j-api-1.4.3.jar,0,0,1,4,0,1
4,org_cloudera_htrace_htrace_1.49_htrace-1.49.jar,0,0,1,4,0,11
5,org_slf4j_slf4j-log4j12_1.4.3_slf4j-log4j12-1.4.3.jar,0,0,1,4,0,26
6,javax_xml_bind_jaxb-api_2.1_jaxb-api-2.1.jar,0,0,4,93,0,8
7,org_mortbay_jetty_jsp-api-2.1_6.1.14_jsp-api-2.1-6.1.14.jar,0,0,2,16,7,24
8,org_mortbay_jetty_jsp-2.1_6.1.14_jsp-2.1-6.1.14.jar,0,0,1,4,7,178
9,org_codehaus_jettison_jettison_1.3.1_jettison-1.3.1.jar,0,0,2,8,0,4
10,commons-lang_commons-lang_2.6_commons-lang-2.6.jar,1,1,100,4589,0,20
11,org_mortbay_jetty_servlet-api-2.5_6.1.14_servlet-api-2.5-6.1.14.jar,0,0,1,4,7,30
12,com_sun_jersey_jersey-json_1.8_jersey-json-1.8.jar,0,0,1,4,0,17
13,org_codehaus_jackson_jackson-mapper-asl_1.8.8_jackson-mapper-asl-1.8.8.jar,0,0,2,14,3,19
14,org_jamon_jamon-runtime_2.3.1_jamon-runtime-2.3.1.jar,0,0,1,4,0,0
15,com_google_protobuf_protobuf-java_2.4.1_protobuf-java-2.4.1.jar,1,1,3,40,1,2
16,log4j_log4j_1.2.17_log4j-1.2.17.jar,1,1,113,2888,0,118
17,commons-cli_commons-cli_1.2_commons-cli-1.2.jar,1,1,47,1170,0,1
18,org_apache_hadoop_hadoop-core_1.0.4_hadoop-core-1.0.4.jar,0,1,1,4,4,2406
19,org_apache_hadoop_hadoop-test_1.0.4_hadoop-test-1.0.4.jar,0,1,1,4,4,1061
20,org_apache_thrift_libthrift_0.8.0_libthrift-0.8.0.jar,1,1,4,253,3,39
21,org_apache_zookeeper_zookeeper_3.4.5_zookeeper-3.4.5.jar,0,1,10,447,0,413
22,org_apache_commons_commons-math_2.1_commons-math-2.1.jar,1,1,4,196,0,37
23,commons-codec_commons-codec_1.7_commons-codec-1.7.jar,1,1,10,505,0,33
24,com_sun_jersey_jersey-server_1.8_jersey-server-1.8.jar,0,0,2,59,0,66
25,org_codehaus_jackson_jackson-jaxrs_1.8.8_jackson-jaxrs-1.8.8.jar,0,0,1,4,3,6
26,com_googlecode_protobuf-rpc-pro_protobuf-rpc-pro-demo_2.0.1_protobuf-rpc-pro-demo-2.0.1.jar,0,1,1,4,0,83
27,io_netty_netty_3.5.0.Final_netty-3.5.0.Final.jar,1,0,1,4,3,60
28,org_apache_hbase_hbase_0.94.7_hbase-0.94.7.jar,0,1,1,4,1,2116
29,com_google_guava_guava_12.0.1_guava-12.0.1.jar,1,1,5,229,1,36
30,com_googlecode_protobuf-rpc-pro_protobuf-rpc-pro-duplex_2.0.1_protobuf-rpc-pro-duplex-2.0.1.jar,0,1,1,4,0,29
31,com_sun_jersey_jersey-core_1.8_jersey-core-1.8.jar,0,0,1,4,0,62
32,org_codehaus_jackson_jackson-core-asl_1.8.8_jackson-core-asl-1.8.8.jar,0,0,1,4,3,36
33,stax_stax-api_1.0.1_stax-api-1.0.1.jar,0,0,6,57,0,3
34,com_googlecode_protobuf-java-format_protobuf-java-format_1.2_protobuf-java-format-1.2.jar,0,1,1,4,0,0
35,org_mortbay_jetty_jetty_6.1.26_jetty-6.1.26.jar,0,0,8,331,8,178
36,org_mortbay_jetty_jetty-util_6.1.26_jetty-util-6.1.26.jar,0,0,2,26,2,84
37,commons-io_commons-io_2.4_commons-io-2.4.jar,1,1,124,3470,0,49
38,com_github_stephenc_high-scale-lib_high-scale-lib_1.1.1_high-scale-lib-1.1.1.jar,0,0,1,4,0,3
39,org_jruby_jruby-complete_1.6.8_jruby-complete-1.6.8.jar,0,0,1,4,0,526
40,com_codahale_metrics_metrics-core_3.0.1_metrics-core-3.0.1.jar,0,0,12,224,0,10
41,org_reflections_reflections_0.9.9-RC1_reflections-0.9.9-RC1.jar,0,0,8,59,0,38
42,org_mongodb_mongo-java-driver_2.12.0_mongo-java-driver-2.12.0.jar,0,0,2,8,0,58
43,com_yammer_dropwizard_dropwizard-core_0.6.2_dropwizard-core-0.6.2.jar,0,0,5,51,0,27
44,com_alibaba_citrus_citrus-webx-all_3.0.7_citrus-webx-all-3.0.7.jar,0,0,1,9,0,522
45,org_apache_struts_struts2-core_2.3.4.1_struts2-core-2.3.4.1.jar,1,1,1,9,30,133
46,org_nutz_nutz_1.b.48_nutz-1.b.48.jar,1,0,1,9,0,188
47,com_jfinal_jfinal_1.4_jfinal-1.4.jar,0,0,1,9,0,166
48,org_apache_struts_xwork_xwork-core_2.3.4.1_xwork-core-2.3.4.1.jar,0,1,1,9,0,120
49,org_springframework_spring-webmvc_3.0.6.RELEASE_spring-webmvc-3.0.6.RELEASE.jar,1,1,3,68,10,226
50,org_apache-extras_beanshell_bsh_2.0b6_bsh-2.0b6.jar,0,1,1,26,0,52
51,org_hamcrest_hamcrest_2.1_hamcrest-2.1.jar,0,0,7,1046,0,2
52,org_objenesis_objenesis_3.0.1_objenesis-3.0.1.jar,1,0,6,583,0,7
53,net_bytebuddy_byte-buddy_1.9.13_byte-buddy-1.9.13.jar,1,0,1,26,0,25
54,cglib_cglib_3.2.12_cglib-3.2.12.jar,1,0,1,26,0,26
55,junit_junit_4.12_junit-4.12.jar,1,1,107,3937,0,13
56,junit_junit_3.8.2_junit-3.8.2.jar,1,1,3,84,0,10
57,com_google_code_findbugs_annotations_3.0.1u2_annotations-3.0.1u2.jar,0,1,1,26,0,0
58,org_junit_platform_junit-platform-launcher_1.4.2_junit-platform-launcher-1.4.2.jar,0,1,1,26,0,1
59,org_ow2_asm_asm_7.1_asm-7.1.jar,0,0,7,224,0,0
60,org_hamcrest_hamcrest-library_2.1_hamcrest-library-2.1.jar,0,0,1,26,0,0
61,org_junit_jupiter_junit-jupiter-api_5.4.2_junit-jupiter-api-5.4.2.jar,0,1,1,26,0,2
62,com_google_guava_guava_26.0-jre_guava-26.0-jre.jar,1,1,11,518,0,63
63,org_slf4j_slf4j-api_1.6.6_slf4j-api-1.6.6.jar,0,0,14,118,0,5
64,org_jongo_jongo_1.3.0_jongo-1.3.0.jar,1,0,2,21,0,1
65,com_sun_jersey_jersey-server_1.19.2_jersey-server-1.19.2.jar,0,0,1,4,0,37
66,com_google_collections_google-collections_1.0_google-collections-1.0.jar,0,1,8,202,0,28
67,com_sun_jersey_jersey-json_1.19.2_jersey-json-1.19.2.jar,0,0,1,4,0,5
68,javax_ws_rs_jsr311-api_1.1.1_jsr311-api-1.1.1.jar,0,0,8,251,0,1
69,org_mongodb_mongodb-driver_3.10.2_mongodb-driver-3.10.2.jar,0,0,1,4,0,8
70,com_sun_jersey_jersey-servlet_1.19.2_jersey-servlet-1.19.2.jar,0,0,1,4,0,44
71,ch_qos_logback_logback-classic_1.0.6_logback-classic-1.0.6.jar,1,0,3,30,1,58
72,org_json4s_json4s-native_2.11_3.5.3_json4s-native_2.11-3.5.3.jar,0,0,1,28,0,0
73,com_github_scopt_scopt_2.11_3.7.0_scopt_2.11-3.7.0.jar,0,0,1,28,0,1
74,org_tensorflow_tensorflow_1.13.1_tensorflow-1.13.1.jar,1,1,1,28,0,0
75,org_tensorflow_tensorflow-hadoop_1.13.1_tensorflow-hadoop-1.13.1.jar,1,1,1,28,0,0
76,org_scala-lang_modules_scala-parser-combinators_2.11_1.1.0_scala-parser-combinators_2.11-1.1.0.jar,0,0,1,28,0,1
77,com_google_protobuf_protobuf-java_3.5.1_protobuf-java-3.5.1.jar,1,1,9,4348,0,11
78,org_scala-lang_scala-library_2.11.8_scala-library-2.11.8.jar,0,0,11,424,1,251
79,org_apache_commons_commons-lang3_3.8.1_commons-lang3-3.8.1.jar,1,1,27,840,0,54
80,com_google_code_gson_gson_2.2.4_gson-2.2.4.jar,1,1,32,646,0,3
81,org_jetbrains_kotlin_kotlin-reflect_1.3.0_kotlin-reflect-1.3.0.jar,1,0,1,507,3,51
